STATION,LATITUDE,LONGITUDE
28552099999,56.0666666,63.65
85896099999,-52.3833333,-75.1166666
15108099999,46.9833333,25.95
26229099999,57.8666666,24.3666666
44386099999,43.1833333,109.2166667
40672099999,31.95,44.95
99738699999,70.4,-148.52
48952099999,15.6833333,106.4166667
06690099999,47.4833333,9.5666666
81798099999,-4.7833333,-37.7833333
22106099999,68.6,31.8
24802099999,61.7333333,102.8166666
06605099999,47.1333333,7.0666666
57259099999,32.0333333,110.7666666
02574099999,58.5833333,16.15
02985199999,60.1833333,24.7833333
06060099999,56.297458,9.124628
34056099999,52.25,43.7833333
42832099999,21.3166666,70.3166666
62308099999,31.117,27.867
71214099999,52.1166666,-110.1
71612099999,45.5,-73.5666666
47138099999,36.0333333,129.3833333
85469099999,-27.164792,-109.421831
44241099999,48.9166666,106.0666666
93404099999,-40.3166666,175.6
12230099999,53.1333333,16.75
28775199999,54.4,68.4
86874099999,-22.4511111,-44.4447222
57378099999,31.1666666,112.6333333
44243099999,49.8333333,107.7333333
16040099999,46.5,13.5833333
03520099999,52.25,-2.8833333
72793024233,47.44467,-122.31442
48431599999,14.949497,102.312736
94355099999,-24.8833333,146.25
48953099999,15.3333333,106.6833333
71779099999,53.0333333,-122.5
86654099999,-12.5666666,-41.3833333
02750099999,59.85,23.25
47108099999,37.5666667,126.9666667
99999963850,33.7837,-83.3896
06716099999,46.15,7.6166666
11120099999,47.260219,11.343964
38062099999,44.7666667,65.5333333
99999923908,37.4277,-94.5829
74754093915,31.33464,-92.55849
01020099999,76.4833333,16.55
15279099999,45.6,24.6166666
30764099999,52.65,115.1666666
42727099999,23.7333333,92.7166666
86986099999,-30.5477778,-53.4675
99844199999,17.591,-61.821
16332099999,40.239228,18.133325
72028404877,42.57444,-84.81139
95831099999,-35.1166666,142.0
26737099999,54.25,24.55
85242099999,-17.962589,-67.076236
72307993796,36.2975,-77.17083
99823899999,30.2166666,-88.5
71497099999,60.2333333,-123.4666666
71902099999,56.55,-61.6833333
58911099999,25.85,116.3666666
23078099999,69.3333333,88.25
38507099999,40.0333333,52.9833333
98550099999,11.227628,125.027758
61931099999,0.378175,6.712153
78526011641,18.43261,-66.01065
41963099999,22.4333333,91.1
72746994992,47.745404,-90.345639
72050100155,37.85,-76.883
94255099999,-19.9166666,138.1166666
72470093141,39.60886,-110.75547
94289099999,-16.4666666,147.8666666
99842599999,60.557,-145.755
43342099999,10.95,78.0833333
72777094012,48.54254,-109.76439
35394899999,40.75,43.85
40674099999,31.2666666,45.2666666
63801099999,-4.8833333,29.6333333
27252099999,58.35,43.3833333
68744099999,-32.1666666,25.6166666
35188099999,51.022222,71.466944
72086400290,35.937,-77.547
01270099999,63.4833333,10.8833333
72751704932,44.75583,-94.08111
06074099999,56.0833333,10.1333333
78384199999,19.686981,-79.882789
44341099999,45.7666666,106.2833333
71949399999,62.2075,-133.375833
94366099999,-20.02,148.21
82107099999,-0.1166666,-66.9666666
71581099999,45.5333333,-78.2666666
93615099999,-42.7166666,170.9833333
72511654737,40.12061,-76.29446
67287199999,-18.0666666,33.1666666
99999953961,32.8833,-92.1165
71924099999,74.716944,-94.969444
95617099999,-34.5833333,116.35
